"","V1","V2","BF","lb.CI","ub.CI"
"1","Diff2_slopes","Diff1_slopes",0.789783351856988,-0.044319616394166,0.341824582414232
"6","Distance","Diff1_slopes",0.322003571577362,-0.117922723431912,0.26919391635411
"7","Diff1_slopes","Diff2_slopes",0.789783351856988,-0.0456148946397833,0.344899921385897
"12","Distance","Diff2_slopes",49.3524923106186,-0.488778073670657,-0.133533695450789
"13","Diff1_slopes","Triplets",0.269696984418518,-0.243751818130214,0.146004417356365
"14","Diff2_slopes","Triplets",0.501486783079111,-0.311641445725294,0.0767108870146763
"18","Distance","Triplets",0.274716759567023,-0.139303311907139,0.246996359914898
"19","Diff1_slopes","Diff_triplets",0.254308174757482,-0.163816357737045,0.23231804672493
"20","Diff2_slopes","Diff_triplets",0.469547150819182,-0.307719400964001,0.0828128570534432
"24","Distance","Diff_triplets",0.318709248278929,-0.119178759946365,0.269862451729889
"25","Diff1_slopes","Longest",0.442179800989868,-0.090679895433246,0.305441100469565
"26","Diff2_slopes","Longest",0.245547410490298,-0.211990195244712,0.192021793325325
"30","Distance","Longest",0.240731448591325,-0.202828969843009,0.192927428636269
"31","Diff1_slopes","Enjoyment",0.374236457584822,-0.098539182030757,0.285794413548566
"32","Diff2_slopes","Enjoyment",0.30073103737551,-0.260355319780762,0.127485989867764
"36","Distance","Enjoyment",0.234392919164507,-0.18375064986829,0.203034073598222
"37","Diff1_slopes","Distance",0.322003571577362,-0.117504416843206,0.268892345462944
"38","Diff2_slopes","Distance",49.3524923106186,-0.486697299545435,-0.133182127289525
