"","Improb_1","Improb_2","Prob_1","Prob_2","Difference1","Difference2","Ratio1.1","Ratio2.1","Ratio1.2","Ratio2.2","Diff1_slopes","Diff2_slopes","Diff1_slopes.gamma","Diff2_slopes.gamma","Triplets","Diff_triplets","Longest","Enjoyment","Distance"
"Improb_1",NA,0,0,0,0.128,0.829,0.598,0.378,0.53,0.379,0.024,0.15,0.001,0.018,0.935,0.475,0.998,0.486,0.143
"Improb_2",0,NA,0,0,0.1,0.085,0.765,0.568,0.948,0.567,0.095,0.896,0.011,0.256,0.912,0.458,0.93,0.687,0.173
"Prob_1",0,0,NA,0,0.447,0.936,0.006,0.271,0.003,0.269,0,0.106,0,0.013,0.959,0.342,0.997,0.348,0.077
"Prob_2",0,0,0,NA,0.228,0.072,0.894,0.003,0.749,0.003,0.03,0,0.002,0,0.604,0.751,0.943,0.809,0.952
"Difference1",0.128,0.1,0.447,0.228,NA,0.177,0,0.3,0,0.291,0,0.375,0,0.516,0.653,0.809,0.857,0.291,0.772
"Difference2",0.829,0.085,0.936,0.072,0.177,NA,0.187,0,0.23,0,0.171,0,0.195,0,0.517,0.308,0.972,0.273,0.001
"Ratio1.1",0.598,0.765,0.006,0.894,0,0.187,NA,0.237,0,0.232,0,0.269,0,0.309,0.984,0.264,0.55,0.266,0.371
"Ratio2.1",0.378,0.568,0.271,0.003,0.3,0,0.237,NA,0.275,0,0.133,0,0.12,0,0.475,0.341,0.922,0.259,0.001
"Ratio1.2",0.53,0.948,0.003,0.749,0,0.23,0,0.275,NA,0.268,0,0.297,0,0.329,0.98,0.243,0.457,0.257,0.24
"Ratio2.2",0.379,0.567,0.269,0.003,0.291,0,0.232,0,0.268,NA,0.128,0,0.117,0,0.459,0.32,0.922,0.278,0.001
"Diff1_slopes",0.024,0.095,0,0.03,0,0.171,0,0.133,0,0.128,NA,0.115,0,0.09,0.452,0.593,0.7,0.201,0.4
"Diff2_slopes",0.15,0.896,0.106,0,0.375,0,0.269,0,0.297,0,0.115,NA,0.091,0,0.566,0.358,0.859,0.294,0.001
"Diff1_slopes.gamma",0.001,0.011,0,0.002,0,0.195,0,0.12,0,0.117,0,0.091,NA,0.056,0.475,0.541,0.675,0.186,0.377
"Diff2_slopes.gamma",0.018,0.256,0.013,0,0.516,0,0.309,0,0.329,0,0.09,0,0.056,NA,0.572,0.424,0.868,0.282,0.002
"Triplets",0.935,0.912,0.959,0.604,0.653,0.517,0.984,0.475,0.98,0.459,0.452,0.566,0.475,0.572,NA,0,0,0.139,0.568
"Diff_triplets",0.475,0.458,0.342,0.751,0.809,0.308,0.264,0.341,0.243,0.32,0.593,0.358,0.541,0.424,0,NA,0.052,0.761,0.496
"Longest",0.998,0.93,0.997,0.943,0.857,0.972,0.55,0.922,0.457,0.922,0.7,0.859,0.675,0.868,0,0.052,NA,0.945,0.982
"Enjoyment",0.486,0.687,0.348,0.809,0.291,0.273,0.266,0.259,0.257,0.278,0.201,0.294,0.186,0.282,0.139,0.761,0.945,NA,0.764
"Distance",0.143,0.173,0.077,0.952,0.772,0.001,0.371,0.001,0.24,0.001,0.4,0.001,0.377,0.002,0.568,0.496,0.982,0.764,NA
