Participant,Sequence,Triplets_exc,Diff_triplets_exc,Longest_exc,Triplets_inc,Diff_triplets_inc,Longest_inc,Group
ADH80254,1,30,10,7,33,10,4,noISI
AJ98098,1,35,5,5,42,8,7,ISI
AM88807,1,25,3,5,24,7,5,noISI
AW51942,1,18,8,5,27,5,5,ISI
BC48907,1,0,0,2,0,0,2,ISI
BDI85115,1,23,9,4,31,9,6,ISI
CA30802,1,28,6,4,33,9,6,ISI
CSB15449,1,26,6,5,33,11,7,ISI
DO12606,1,21,8,7,36,8,5,noISI
DS92927,1,44,10,7,33,6,5,ISI
EC79302,1,27,10,5,24,1,3,noISI
EK76717,1,28,9,8,31,5,5,noISI
EOL17976,1,17,1,3,36,11,6,noISI
HR12345,1,28,10,6,45,5,5,ISI
IM17947,1,43,9,6,30,8,5,ISI
JH99802,1,28,7,6,34,10,5,noISI
JK77807,1,23,4,6,41,11,6,ISI
JM31354,1,15,9,5,43,9,5,noISI
JT79181,1,0,0,2,34,9,5,ISI
KJ69825,1,6,5,5,32,11,5,noISI
LC41432,1,25,5,6,29,10,7,ISI
MM15405,1,40,8,6,38,10,5,noISI
MM57769,1,29,10,5,44,8,6,noISI
MO60962,1,39,11,6,36,11,6,ISI
MR12843,1,49,9,8,35,9,5,ISI
NT23123,1,28,10,6,44,10,6,ISI
OK73969,1,20,8,4,42,11,6,ISI
PB24772,1,55,10,8,61,10,10,noISI
PR07539,1,4,4,3,25,6,5,noISI
RC59448,1,18,9,5,35,8,7,ISI
RF38211,1,23,9,4,57,11,9,noISI
RI53440,1,28,10,5,29,10,6,noISI
RL68434,1,19,4,5,47,11,12,ISI
SA7643,1,9,6,4,39,11,7,ISI
SB90006,1,24,8,5,29,9,6,noISI
SN46949,1,22,6,4,36,5,5,noISI
TA56995,1,16,4,4,29,5,5,ISI
ZQ66477,1,36,8,6,33,10,6,noISI
AF18766,2,21,7,5,35,11,8,ISI
AS54299,2,31,11,10,51,10,8,noISI
AT55010,2,33,10,7,44,10,6,ISI
AT78643,2,19,11,5,39,9,5,noISI
AW75421,2,44,11,5,51,11,11,noISI
CB45784,2,48,2,4,42,9,6,ISI
DB17486,2,16,8,6,41,10,8,noISI
DV93893,2,33,8,5,41,11,7,ISI
EH12432,2,35,10,5,31,11,7,ISI
EM77607,2,48,7,6,48,9,7,noISI
EP57702,2,49,4,4,40,10,6,ISI
FP36564,2,41,10,5,32,10,8,ISI
FS41243,2,43,10,5,34,11,8,noISI
GB22001,2,40,4,5,66,9,7,noISI
JD03963,2,24,10,6,41,11,8,ISI
JF72132,2,3,3,3,25,2,3,ISI
JL06545,2,36,10,7,39,11,6,noISI
KL12389,2,51,8,5,38,10,7,noISI
LB9320,2,37,11,6,38,10,6,ISI
LH05248,2,50,9,5,29,10,7,noISI
LR98824,2,22,5,4,25,6,4,noISI
MA25059,2,18,8,4,20,9,4,noISI
MC41086,2,18,8,5,40,9,8,ISI
MC69662,2,27,6,4,49,11,7,noISI
MD19148,2,46,11,7,48,11,9,ISI
MFH45481,2,48,4,5,50,2,4,ISI
MS99412,2,26,6,5,35,10,5,noISI
MW14953,2,34,8,5,40,10,6,noISI
MW33667,2,38,9,5,34,9,5,noISI
NS40990,2,39,4,5,38,10,10,ISI
RH41676,2,21,3,5,44,8,6,noISI
SH09938,2,21,8,6,30,9,5,noISI
SM81477,2,24,2,4,39,7,6,noISI
TK95636,2,1,1,3,31,10,5,ISI
WL32771,2,38,9,7,37,10,6,ISI
WW00131,2,54,10,6,31,10,6,ISI
ZW39039,2,18,10,5,34,10,8,noISI
